full,fips,abbr.x,pop_2015,Year,abbr.y,Death_Rate,Deaths
Alabama,01,AL,4858979,2021,AL,26.4,1315
Alaska,02,AK,738432,2021,AK,25.2,182
Arizona,04,AZ,6828065,2021,AZ,18.3,1365
Arkansas,05,AR,2978204,2021,AR,23.3,698
California,06,CA,39144818,2021,CA,9,3576
Colorado,08,CO,5456574,2021,CO,17.8,1064
Connecticut,09,CT,3590886,2021,CT,6.7,248
Delaware,10,DE,945934,2021,DE,16.6,158
Florida,12,FL,20271272,2021,FL,14.1,3142
Georgia,13,GA,10214860,2021,GA,20.3,2200
Hawaii,15,HI,1431603,2021,HI,4.8,71
Idaho,16,ID,1654930,2021,ID,16.3,309
Illinois,17,IL,12859995,2021,IL,16.1,1995
Indiana,18,IN,6619680,2021,IN,18.4,1251
Iowa,19,IA,3123899,2021,IA,11.2,364
Kansas,20,KS,2911641,2021,KS,17.3,503
Kentucky,21,KY,4425092,2021,KY,21.1,947
Louisiana,22,LA,4670724,2021,LA,29.1,1314
Maine,23,ME,1329328,2021,ME,12.6,178
Maryland,24,MD,6006401,2021,MD,15.2,915
Massachusetts,25,MA,6794422,2021,MA,3.4,247
Michigan,26,MI,9922576,2021,MI,15.4,1544
Minnesota,27,MN,5489594,2021,MN,10,573
Mississippi,28,MS,2992333,2021,MS,33.9,962
Missouri,29,MO,6083672,2021,MO,23.2,1414
Montana,30,MT,1032949,2021,MT,25.1,280
Nebraska,31,NE,1896190,2021,NE,10.3,200
Nevada,32,NV,2890845,2021,NV,19.8,633
New Hampshire,33,NH,1330608,2021,NH,8.3,123
New Jersey,34,NJ,8958013,2021,NJ,5.2,475
New Mexico,35,NM,2085109,2021,NM,27.8,578
New York,36,NY,19795791,2021,NY,5.4,1078
North Carolina,37,NC,10042802,2021,NC,17.3,1839
North Dakota,38,ND,756927,2021,ND,16.8,128
Ohio,39,OH,11613423,2021,OH,16.5,1911
Oklahoma,40,OK,3911338,2021,OK,21.2,836
Oregon,41,OR,4028977,2021,OR,14.9,670
Pennsylvania,42,PA,12802503,2021,PA,14.8,1905
Rhode Island,44,RI,1056298,2021,RI,5.6,64
South Carolina,45,SC,4896146,2021,SC,22.4,1136
South Dakota,46,SD,858469,2021,SD,14.3,128
Tennessee,47,TN,6600299,2021,TN,22.8,1569
Texas,48,TX,27469114,2021,TX,15.6,4613
Utah,49,UT,2995919,2021,UT,13.9,450
Vermont,50,VT,626042,2021,VT,11.9,83
Virginia,51,VA,8382993,2021,VA,14.3,1248
Washington,53,WA,7170351,2021,WA,11.2,896
West Virginia,54,WV,1844128,2021,WV,17.3,319
Wisconsin,55,WI,5771337,2021,WI,13.5,793
Wyoming,56,WY,586107,2021,WY,26.1,155
