Year,State,abbr,Death_Rate,Deaths,abr,Number_of_ Registered_Weapon
2021,Alabama,AL,26.4,1315,AL,194920
2021,Alaska,AK,25.2,182,AL,28237
2021,Arizona,AZ,18.3,1365,AZ,258691
2021,Arkansas,AR,23.3,698,AR,133981
2021,California,CA,9,3576,CA,406360
2021,Colorado,CO,17.8,1064,CO,149382
2021,Connecticut,CT,6.7,248,CT,74874
2021,Delaware,DE,16.6,158,DE,6092
2021,Florida,FL,14.1,3142,FL,518725
2021,Georgia,GA,20.3,2200,GA,304124
2021,Hawaii,HI,4.8,71,HI,9280
2021,Idaho,ID,16.3,309,ID,76425
2021,Illinois,IL,16.1,1995,IL,144749
2021,Indiana,IN,18.4,1251,IN,157546
2021,Iowa,IA,11.2,364,IA,54178
2021,Kansas,KS,17.3,503,KS,69850
2021,Kentucky,KY,21.1,947,KT,108833
2021,Louisiana,LA,29.1,1314,LA,152061
2021,Maine,ME,12.6,178,ME,21396
2021,Maryland,MD,15.2,915,MD,136257
2021,Massachusetts,MA,3.4,247,MA,45138
2021,Michigan,MI,15.4,1544,MI,109835
2021,Minnesota,MN,10,573,MN,129825
2021,Mississippi,MS,33.9,962,MS,80712
2021,Missouri,MO,23.2,1414,MO,113351
2021,Montana,MT,25.1,280,MT,36678
2021,Nebraska,NE,10.3,200,NE,43261
2021,Nevada,NV,19.8,633,NV,119007
2021,New Hampshire,NH,8.3,123,NH,72433
2021,New Jersey,NJ,5.2,475,NJ,102228
2021,New Mexico,NM,27.8,578,NM,122968
2021,New York,NY,5.4,1078,NY,92191
2021,North Carolina,NC,17.3,1839,NC,222166
2021,North Dakota,ND,16.8,128,ND,30975
2021,Ohio,OH,16.5,1911,OH,208661
2021,Oklahoma,OK,21.2,836,OK,103368
2021,Oregon,OR,14.9,670,OR,97474
2021,Pennsylvania,PA,14.8,1905,PA,348167
2021,Rhode Island,RI,5.6,64,RI,4887
2021,South Carolina,SC,22.4,1136,SC,119205
2021,South Dakota,SD,14.3,128,SD,64666
2021,Tennessee,TN,22.8,1569,TN,151536
2021,Texas,TX,15.6,4613,TX,1006555
2021,Utah,UT,13.9,450,UT,118408
2021,Vermont,VT,11.9,83,VT,9451
2021,Virginia,VA,14.3,1248,VA,423707
2021,Washington,WA,11.2,896,WA,165534
2021,West Virginia,WV,17.3,319,WV,50963
2021,Wisconsin,WI,13.5,793,WI,95430
2021,Wyoming,WY,26.1,155,WY,142247
